,interval_start,annotation
205,109.0,no_tremor
206,109.5,no_tremor
207,110.0,no_tremor
208,110.5,no_tremor
209,111.0,no_tremor
210,111.5,no_tremor
211,112.0,no_tremor
212,112.5,tremor
213,113.0,no_tremor
214,113.5,no_tremor
215,114.0,no_tremor
216,114.5,no_tremor
217,115.0,no_tremor
218,115.5,no_tremor
219,116.0,no_tremor
220,116.5,no_tremor
221,117.0,no_tremor
222,117.5,no_tremor
223,118.0,no_tremor
224,118.5,no_tremor
225,119.0,no_tremor
226,119.5,no_tremor
227,120.0,no_tremor
228,120.5,no_tremor
229,121.0,no_tremor
230,121.5,tremor
231,122.0,tremor
232,122.5,no_tremor
233,123.0,tremor
234,123.5,no_tremor
235,124.0,tremor
236,124.5,no_tremor
237,125.0,no_tremor
238,125.5,no_tremor
239,126.0,no_tremor
240,126.5,no_tremor
241,127.0,no_tremor
242,127.5,no_tremor
243,128.0,no_tremor
244,128.5,no_tremor
245,129.0,no_tremor
246,129.5,no_tremor
247,130.0,no_tremor
248,130.5,no_tremor
249,131.0,no_tremor
250,131.5,no_tremor
251,132.0,no_tremor
252,132.5,no_tremor
253,133.0,no_tremor
1961,133.5,no_tremor.flat
1962,134.0,no_tremor.flat
1964,134.5,no_tremor.flat
1963,135.0,no_tremor.flat
254,135.5,no_tremor
255,136.0,no_tremor
256,136.5,no_tremor
257,137.0,no_tremor
258,137.5,no_tremor
259,138.0,no_tremor
260,138.5,no_tremor
261,139.0,no_tremor
262,139.5,no_tremor
263,140.0,no_tremor
264,140.5,no_tremor
265,141.0,no_tremor
266,141.5,no_tremor
267,142.0,no_tremor
268,142.5,no_tremor
269,143.0,no_tremor
270,143.5,no_tremor
271,144.0,no_tremor
272,144.5,no_tremor
273,145.0,no_tremor
274,145.5,no_tremor
275,146.0,no_tremor
276,146.5,no_tremor
277,147.0,no_tremor
278,147.5,no_tremor
279,148.0,no_tremor
280,148.5,no_tremor
281,149.0,no_tremor
282,149.5,no_tremor
283,150.0,no_tremor
284,150.5,no_tremor
285,151.0,no_tremor
286,151.5,no_tremor
287,152.0,no_tremor
288,152.5,no_tremor
289,153.0,no_tremor
1965,153.5,no_tremor.flat
290,154.0,no_tremor
291,154.5,no_tremor
292,155.0,no_tremor
293,155.5,no_tremor
294,156.0,no_tremor
295,156.5,no_tremor
296,157.0,no_tremor
297,157.5,no_tremor
298,158.0,no_tremor
299,158.5,no_tremor
300,159.0,no_tremor
301,159.5,no_tremor
302,160.0,no_tremor
303,160.5,no_tremor
304,161.0,no_tremor
305,161.5,no_tremor
306,162.0,no_tremor
307,162.5,no_tremor
308,163.0,no_tremor
1966,163.5,no_tremor.flat
1967,164.0,no_tremor.flat
309,164.5,no_tremor
310,165.0,no_tremor
311,165.5,no_tremor
312,166.0,no_tremor
313,166.5,no_tremor
314,167.0,no_tremor
315,167.5,no_tremor
316,168.0,no_tremor
317,168.5,no_tremor
318,169.0,no_tremor
319,169.5,no_tremor
320,170.0,no_tremor
321,170.5,no_tremor
322,171.0,no_tremor
323,171.5,no_tremor
324,172.0,no_tremor
325,172.5,no_tremor
326,173.0,no_tremor
327,173.5,no_tremor
328,174.0,no_tremor
329,174.5,no_tremor
330,175.0,no_tremor
331,175.5,no_tremor
332,176.0,no_tremor
333,176.5,no_tremor
334,177.0,no_tremor
335,177.5,no_tremor
336,178.0,no_tremor
337,178.5,no_tremor
338,179.0,no_tremor
339,179.5,no_tremor
340,180.0,no_tremor
341,180.5,no_tremor
342,181.0,no_tremor
343,181.5,no_tremor
344,182.0,no_tremor
345,182.5,no_tremor
346,183.0,no_tremor
347,183.5,no_tremor
348,184.0,no_tremor
349,184.5,no_tremor
350,185.0,no_tremor
351,185.5,no_tremor
352,186.0,no_tremor
353,186.5,no_tremor
354,187.0,no_tremor
355,187.5,no_tremor
356,188.0,no_tremor
357,188.5,no_tremor
358,189.0,no_tremor
1968,189.5,no_tremor.flat
359,190.0,no_tremor
360,190.5,no_tremor
361,191.0,no_tremor
362,191.5,no_tremor
363,192.0,no_tremor
364,192.5,no_tremor
365,193.0,no_tremor
366,193.5,no_tremor
367,194.0,no_tremor
368,194.5,tremor
369,195.0,no_tremor
370,195.5,no_tremor
371,196.0,no_tremor
372,196.5,no_tremor
373,197.0,no_tremor
374,197.5,no_tremor
375,198.0,no_tremor
376,198.5,no_tremor
377,199.0,no_tremor
378,199.5,no_tremor
379,200.0,no_tremor
380,200.5,no_tremor
381,201.0,no_tremor
382,201.5,no_tremor
383,202.0,no_tremor
384,202.5,no_tremor
385,203.0,no_tremor
386,203.5,no_tremor
387,204.0,no_tremor
388,204.5,no_tremor
389,205.0,no_tremor
390,205.5,no_tremor
391,206.0,no_tremor
392,206.5,no_tremor
393,207.0,no_tremor
394,207.5,no_tremor
395,208.0,no_tremor
396,208.5,no_tremor
397,209.0,no_tremor
398,209.5,no_tremor
399,210.0,no_tremor
400,210.5,no_tremor
401,211.0,no_tremor
402,211.5,no_tremor
403,212.0,no_tremor
404,212.5,no_tremor
405,213.0,no_tremor
406,213.5,no_tremor
407,214.0,no_tremor
408,214.5,no_tremor
409,215.0,no_tremor
410,215.5,no_tremor
411,216.0,no_tremor
412,216.5,no_tremor
413,217.0,no_tremor
414,217.5,no_tremor
415,218.0,no_tremor
416,218.5,no_tremor
417,219.0,no_tremor
418,219.5,no_tremor
419,220.0,no_tremor
420,220.5,no_tremor
421,221.0,no_tremor
422,221.5,no_tremor
423,222.0,no_tremor
424,222.5,no_tremor
425,223.0,no_tremor
426,223.5,no_tremor
427,224.0,no_tremor
428,224.5,no_tremor
429,225.0,no_tremor
430,225.5,no_tremor
431,226.0,no_tremor
432,226.5,no_tremor
433,227.0,no_tremor
434,227.5,no_tremor
435,228.0,no_tremor
436,228.5,no_tremor
437,229.0,no_tremor
438,229.5,no_tremor
439,230.0,no_tremor
440,230.5,no_tremor
441,231.0,no_tremor
442,231.5,no_tremor
443,232.0,no_tremor
444,232.5,no_tremor
445,233.0,no_tremor
446,233.5,no_tremor
447,234.0,no_tremor
448,234.5,no_tremor
449,235.0,no_tremor
450,235.5,no_tremor
451,236.0,no_tremor
452,236.5,no_tremor
453,237.0,no_tremor
454,237.5,no_tremor
455,238.0,no_tremor
456,238.5,no_tremor
457,239.0,no_tremor
458,239.5,no_tremor
459,240.0,no_tremor
460,240.5,no_tremor
461,241.0,no_tremor
462,241.5,no_tremor
463,242.0,no_tremor
1969,242.5,no_tremor.flat
464,243.0,no_tremor
1970,243.5,no_tremor.flat
1971,244.0,no_tremor.flat
1972,244.5,no_tremor.flat
465,245.0,no_tremor
466,245.5,no_tremor
467,246.0,no_tremor
468,246.5,no_tremor
469,247.0,no_tremor
1973,247.5,no_tremor.flat
470,248.0,no_tremor
471,248.5,no_tremor
472,249.0,no_tremor
473,249.5,no_tremor
474,250.0,no_tremor
475,250.5,no_tremor
476,251.0,no_tremor
477,251.5,no_tremor
478,252.0,no_tremor
479,252.5,no_tremor
480,253.0,no_tremor
481,253.5,no_tremor
482,254.0,no_tremor
483,254.5,no_tremor
484,255.0,no_tremor
485,255.5,no_tremor
486,256.0,no_tremor
487,256.5,no_tremor
488,257.0,no_tremor
1974,257.5,no_tremor.flat
489,258.0,no_tremor
490,258.5,no_tremor
491,259.0,no_tremor
492,259.5,no_tremor
493,260.0,no_tremor
494,260.5,no_tremor
495,261.0,no_tremor
496,261.5,no_tremor
497,262.0,no_tremor
498,262.5,no_tremor
499,263.0,no_tremor
500,263.5,no_tremor
501,264.0,no_tremor
502,264.5,no_tremor
503,265.0,no_tremor
504,265.5,no_tremor
505,266.0,no_tremor
506,266.5,no_tremor
507,267.0,no_tremor
508,267.5,no_tremor
509,268.0,no_tremor
510,268.5,no_tremor
511,269.0,no_tremor
512,269.5,no_tremor
513,270.0,no_tremor
514,270.5,no_tremor
515,271.0,no_tremor
516,271.5,no_tremor
517,272.0,no_tremor
518,272.5,no_tremor
1975,273.0,no_tremor.flat
519,273.5,no_tremor
520,274.0,no_tremor
521,274.5,no_tremor
522,275.0,no_tremor
523,275.5,no_tremor
524,276.0,no_tremor
525,276.5,no_tremor
526,277.0,no_tremor
527,277.5,no_tremor
528,278.0,no_tremor
529,278.5,no_tremor
530,279.0,no_tremor
531,279.5,no_tremor
532,280.0,no_tremor
533,280.5,no_tremor
534,281.0,no_tremor
535,281.5,no_tremor
536,282.0,no_tremor
537,282.5,no_tremor
538,283.0,no_tremor
539,283.5,no_tremor
540,284.0,no_tremor
541,284.5,no_tremor
542,285.0,no_tremor
543,285.5,no_tremor
544,286.0,no_tremor
545,286.5,no_tremor
546,287.0,no_tremor
547,287.5,no_tremor
548,288.0,no_tremor
549,288.5,no_tremor
550,289.0,no_tremor
551,289.5,no_tremor
552,290.0,no_tremor
553,290.5,no_tremor
554,291.0,no_tremor
555,291.5,no_tremor
556,292.0,no_tremor
557,292.5,no_tremor
558,293.0,no_tremor
559,293.5,no_tremor
560,294.0,no_tremor
561,294.5,no_tremor
562,295.0,no_tremor
563,295.5,no_tremor
564,296.0,no_tremor
565,296.5,no_tremor
566,297.0,no_tremor
567,297.5,no_tremor
568,298.0,no_tremor
569,298.5,no_tremor
570,299.0,no_tremor
571,299.5,no_tremor
572,300.0,no_tremor
573,300.5,no_tremor
574,301.0,no_tremor
575,301.5,no_tremor
1976,302.0,no_tremor.flat
576,302.5,no_tremor
577,303.0,no_tremor
1977,303.5,no_tremor.flat
1978,304.0,no_tremor.flat
1979,304.5,no_tremor.flat
578,305.0,no_tremor
579,305.5,no_tremor
580,306.0,no_tremor
581,306.5,no_tremor
1980,307.0,no_tremor.flat
582,307.5,no_tremor
583,308.0,no_tremor
584,308.5,no_tremor
1981,309.0,no_tremor.flat
585,309.5,no_tremor
586,310.0,no_tremor
587,310.5,no_tremor
1982,311.0,no_tremor.flat
1984,311.5,no_tremor.flat
1983,312.0,no_tremor.flat
588,312.5,no_tremor
589,313.0,no_tremor
590,313.5,no_tremor
591,314.0,no_tremor
1985,314.5,no_tremor.flat
1986,315.0,no_tremor.flat
592,315.5,no_tremor
1987,316.0,no_tremor.flat
593,316.5,no_tremor
1988,317.0,no_tremor.flat
594,317.5,no_tremor
595,318.0,no_tremor
596,318.5,no_tremor
597,319.0,no_tremor
1989,319.5,no_tremor.flat
1990,320.0,no_tremor.flat
1994,320.5,no_tremor.flat
1991,321.0,no_tremor.flat
1999,321.5,no_tremor.flat
1993,322.0,no_tremor.flat
1992,322.5,no_tremor.flat
598,323.0,no_tremor
599,323.5,no_tremor
600,324.0,no_tremor
601,324.5,no_tremor
1995,325.0,no_tremor.flat
602,325.5,no_tremor
1996,326.0,no_tremor.flat
2000,326.5,no_tremor.flat
1997,327.0,no_tremor.flat
2003,327.5,no_tremor.flat
1998,328.0,no_tremor.flat
603,328.5,no_tremor
604,329.0,no_tremor
605,329.5,no_tremor
606,330.0,no_tremor
2004,330.5,no_tremor.flat
2001,331.0,no_tremor.flat
607,331.5,no_tremor
2002,332.0,no_tremor.flat
608,332.5,no_tremor
609,333.0,no_tremor
2005,333.5,no_tremor.flat
610,334.0,no_tremor
2006,334.5,no_tremor.flat
611,335.0,no_tremor
612,335.5,no_tremor
613,336.0,no_tremor
2007,336.5,no_tremor.flat
614,337.0,no_tremor
615,337.5,no_tremor
616,338.0,no_tremor
617,338.5,no_tremor
2008,339.0,no_tremor.flat
618,339.5,no_tremor
619,340.0,no_tremor
620,340.5,no_tremor
621,341.0,no_tremor
622,341.5,no_tremor
623,342.0,no_tremor
624,342.5,no_tremor
2009,343.0,no_tremor.flat
625,343.5,no_tremor
626,344.0,no_tremor
627,344.5,no_tremor
628,345.0,no_tremor
629,345.5,no_tremor
2010,346.0,no_tremor.flat
2013,346.5,no_tremor.flat
2011,347.0,no_tremor.flat
630,347.5,no_tremor
2012,348.0,no_tremor.flat
2014,348.5,no_tremor.flat
631,349.0,no_tremor
632,349.5,no_tremor
633,350.0,no_tremor
2016,350.5,no_tremor.flat
2015,351.0,no_tremor.flat
634,351.5,no_tremor
635,352.0,no_tremor
636,352.5,no_tremor
2017,353.0,no_tremor.flat
637,353.5,no_tremor
2018,354.0,no_tremor.flat
638,354.5,no_tremor
2019,355.0,no_tremor.flat
2020,355.5,no_tremor.flat
639,356.0,no_tremor
640,356.5,no_tremor
2021,357.0,no_tremor.flat
641,357.5,no_tremor
642,358.0,no_tremor
643,358.5,no_tremor
644,359.0,no_tremor
645,359.5,no_tremor
646,360.0,no_tremor
647,360.5,no_tremor
648,361.0,no_tremor
649,361.5,no_tremor
650,362.0,no_tremor
651,362.5,no_tremor
652,363.0,no_tremor
653,363.5,no_tremor
654,364.0,no_tremor
655,364.5,no_tremor
656,365.0,no_tremor
657,365.5,no_tremor
658,366.0,no_tremor
659,366.5,no_tremor
660,367.0,no_tremor
661,367.5,no_tremor
662,368.0,no_tremor
663,368.5,no_tremor
664,369.0,no_tremor
665,369.5,no_tremor
666,370.0,no_tremor
667,370.5,no_tremor
668,371.0,no_tremor
669,371.5,no_tremor
670,372.0,no_tremor
671,372.5,no_tremor
672,373.0,no_tremor
673,373.5,no_tremor
674,374.0,no_tremor
2022,374.5,no_tremor.flat
675,375.0,no_tremor
676,375.5,no_tremor
677,376.0,no_tremor
678,376.5,no_tremor
679,377.0,no_tremor
680,377.5,no_tremor
681,378.0,no_tremor
682,378.5,no_tremor
683,379.0,no_tremor
684,379.5,no_tremor
685,380.0,no_tremor
686,380.5,no_tremor
2023,381.0,no_tremor.flat
687,381.5,no_tremor
688,382.0,no_tremor
689,382.5,no_tremor
690,383.0,no_tremor
691,383.5,no_tremor
2024,384.0,no_tremor.flat
692,384.5,no_tremor
693,385.0,no_tremor
694,385.5,no_tremor
695,386.0,no_tremor
696,386.5,no_tremor
2025,387.0,no_tremor.flat
697,387.5,no_tremor
2026,388.0,no_tremor.flat
698,388.5,no_tremor
699,389.0,no_tremor
700,389.5,no_tremor
701,390.0,no_tremor
702,390.5,no_tremor
703,391.0,no_tremor
704,391.5,no_tremor
705,392.0,no_tremor
706,392.5,no_tremor
707,393.0,tremor
708,393.5,no_tremor
709,394.0,tremor
710,394.5,tremor
711,395.0,no_tremor
712,395.5,no_tremor
713,396.0,tremor
714,396.5,no_tremor
715,397.0,no_tremor
716,397.5,no_tremor
717,398.0,no_tremor
718,398.5,no_tremor
719,399.0,no_tremor
720,399.5,no_tremor
721,400.0,no_tremor
722,400.5,no_tremor
723,401.0,no_tremor
724,401.5,no_tremor
725,402.0,no_tremor
726,402.5,no_tremor
727,403.0,no_tremor
728,403.5,no_tremor
729,404.0,no_tremor
730,404.5,no_tremor
731,405.0,no_tremor
732,405.5,no_tremor
733,406.0,no_tremor
734,406.5,no_tremor
735,407.0,no_tremor
736,407.5,no_tremor
737,408.0,no_tremor
738,408.5,no_tremor
739,409.0,no_tremor
740,409.5,no_tremor
741,410.0,no_tremor
742,410.5,no_tremor
743,411.0,no_tremor
744,411.5,no_tremor
745,412.0,no_tremor
746,412.5,no_tremor
747,413.0,no_tremor
748,413.5,no_tremor
749,414.0,no_tremor
750,414.5,no_tremor
751,415.0,no_tremor
752,415.5,no_tremor
753,416.0,no_tremor
754,416.5,no_tremor
755,417.0,no_tremor
756,417.5,no_tremor
757,418.0,no_tremor
758,418.5,no_tremor
759,419.0,no_tremor
760,419.5,no_tremor
761,420.0,no_tremor
762,420.5,no_tremor
763,421.0,no_tremor
764,421.5,no_tremor
765,422.0,no_tremor
766,422.5,no_tremor
767,423.0,no_tremor
768,423.5,no_tremor
769,424.0,no_tremor
770,424.5,no_tremor
771,425.0,no_tremor
772,425.5,no_tremor
773,426.0,no_tremor
774,426.5,no_tremor
775,427.0,no_tremor
776,427.5,no_tremor
777,428.0,no_tremor
778,428.5,no_tremor
779,429.0,no_tremor
780,429.5,no_tremor
781,430.0,no_tremor
782,430.5,no_tremor
783,431.0,no_tremor
784,431.5,no_tremor
785,432.0,no_tremor
786,432.5,no_tremor
787,433.0,no_tremor
788,433.5,no_tremor
2027,434.0,no_tremor.flat
789,434.5,no_tremor
790,435.0,no_tremor
791,435.5,no_tremor
792,436.0,no_tremor
793,436.5,no_tremor
794,437.0,no_tremor
795,437.5,no_tremor
796,438.0,no_tremor
797,438.5,no_tremor
798,439.0,no_tremor
799,439.5,no_tremor
800,440.0,no_tremor
801,440.5,no_tremor
802,441.0,no_tremor
803,441.5,no_tremor
804,442.0,no_tremor
805,442.5,no_tremor
806,443.0,no_tremor
807,443.5,no_tremor
808,444.0,no_tremor
809,444.5,no_tremor
810,445.0,no_tremor
2028,445.5,no_tremor.flat
811,446.0,no_tremor
812,446.5,no_tremor
813,447.0,no_tremor
2029,447.5,no_tremor.flat
814,448.0,no_tremor
815,448.5,no_tremor
816,449.0,no_tremor
817,449.5,no_tremor
818,450.0,no_tremor
819,450.5,no_tremor
820,451.0,no_tremor
821,451.5,no_tremor
822,452.0,no_tremor
823,452.5,no_tremor
824,453.0,no_tremor
2030,453.5,no_tremor.flat
2031,454.0,no_tremor.flat
2032,454.5,no_tremor.flat
825,455.0,no_tremor
826,455.5,no_tremor
827,456.0,no_tremor
828,456.5,no_tremor
829,457.0,no_tremor
830,457.5,no_tremor
831,458.0,no_tremor
832,458.5,no_tremor
833,459.0,no_tremor
834,459.5,no_tremor
835,460.0,no_tremor
836,460.5,no_tremor
837,461.0,no_tremor
2035,461.5,no_tremor.flat
838,462.0,no_tremor
839,462.5,no_tremor
840,463.0,no_tremor
841,463.5,no_tremor
842,464.0,no_tremor
843,464.5,no_tremor
844,465.0,no_tremor
845,465.5,no_tremor
846,466.0,no_tremor
847,466.5,no_tremor
848,467.0,no_tremor
849,467.5,no_tremor
850,468.0,no_tremor
851,468.5,no_tremor
852,469.0,no_tremor
853,469.5,no_tremor
854,470.0,no_tremor
855,470.5,no_tremor
856,471.0,no_tremor
857,471.5,no_tremor
858,472.0,no_tremor
859,472.5,no_tremor
2037,473.0,no_tremor.flat
2038,473.5,no_tremor.flat
860,474.0,no_tremor
861,474.5,no_tremor
862,475.0,no_tremor
863,475.5,no_tremor
864,476.0,no_tremor
865,476.5,no_tremor
866,477.0,no_tremor
867,477.5,no_tremor
868,478.0,no_tremor
869,478.5,no_tremor
870,479.0,no_tremor
871,479.5,no_tremor
872,480.0,no_tremor
873,480.5,no_tremor
874,481.0,no_tremor
875,481.5,no_tremor
876,482.0,no_tremor
877,482.5,no_tremor
878,483.0,no_tremor
879,483.5,no_tremor
880,484.0,no_tremor
881,484.5,no_tremor
2040,485.0,no_tremor.flat
2041,485.5,no_tremor.flat
882,486.0,no_tremor
883,486.5,no_tremor
884,487.0,no_tremor
885,487.5,no_tremor
886,488.0,no_tremor
887,488.5,no_tremor
888,489.0,no_tremor
889,489.5,no_tremor
890,490.0,no_tremor
891,490.5,no_tremor
892,491.0,no_tremor
893,491.5,no_tremor
894,492.0,no_tremor
2043,492.5,no_tremor.flat
895,493.0,no_tremor
896,493.5,no_tremor
897,494.0,no_tremor
2044,494.5,no_tremor.flat
2045,495.0,no_tremor.flat
2046,495.5,no_tremor.flat
898,496.0,no_tremor
2047,496.5,no_tremor.flat
2048,497.0,no_tremor.flat
2049,497.5,no_tremor.flat
2033,498.0,no_tremor.flat
2034,498.5,no_tremor.flat
899,499.0,no_tremor
2036,499.5,no_tremor.flat
2050,500.0,no_tremor.flat
2051,500.5,no_tremor.flat
900,501.0,no_tremor
2052,501.5,no_tremor.flat
901,502.0,no_tremor
2053,502.5,no_tremor.flat
2039,503.0,no_tremor.flat
2054,503.5,no_tremor.flat
2042,504.0,no_tremor.flat
2060,504.5,no_tremor.flat
2055,505.0,no_tremor.flat
2056,505.5,no_tremor.flat
902,506.0,no_tremor
903,506.5,no_tremor
904,507.0,no_tremor
2057,507.5,no_tremor.flat
2064,508.0,no_tremor.flat
2058,508.5,no_tremor.flat
2067,509.0,no_tremor.flat
2059,509.5,no_tremor.flat
905,510.0,no_tremor
2069,510.5,no_tremor.flat
2061,511.0,no_tremor.flat
2070,511.5,no_tremor.flat
2062,512.0,no_tremor.flat
2063,512.5,no_tremor.flat
906,513.0,no_tremor
907,513.5,no_tremor
908,514.0,no_tremor
909,514.5,no_tremor
2065,515.0,no_tremor.flat
910,515.5,no_tremor
911,516.0,no_tremor
2066,516.5,no_tremor.flat
912,517.0,no_tremor
913,517.5,no_tremor
914,518.0,no_tremor
2068,518.5,no_tremor.flat
915,519.0,no_tremor
916,519.5,no_tremor
917,520.0,no_tremor
918,520.5,no_tremor
919,521.0,no_tremor
920,521.5,no_tremor
921,522.0,no_tremor
922,522.5,no_tremor
923,523.0,no_tremor
924,523.5,no_tremor
925,524.0,no_tremor
926,524.5,no_tremor
927,525.0,no_tremor
928,525.5,no_tremor
2071,526.0,no_tremor.flat
2072,526.5,no_tremor.flat
929,527.0,no_tremor
2073,527.5,no_tremor.flat
930,528.0,no_tremor
931,528.5,no_tremor
932,529.0,no_tremor
933,529.5,no_tremor
934,530.0,no_tremor
935,530.5,no_tremor
936,531.0,no_tremor
937,531.5,no_tremor
938,532.0,no_tremor
939,532.5,no_tremor
940,533.0,no_tremor
941,533.5,no_tremor
942,534.0,no_tremor
943,534.5,no_tremor
944,535.0,no_tremor
945,535.5,no_tremor
946,536.0,no_tremor
947,536.5,no_tremor
948,537.0,no_tremor
949,537.5,no_tremor
950,538.0,no_tremor
951,538.5,no_tremor
952,539.0,no_tremor
953,539.5,no_tremor
954,540.0,no_tremor
955,540.5,no_tremor
956,541.0,no_tremor
957,541.5,no_tremor
958,542.0,no_tremor
959,542.5,no_tremor
960,543.0,no_tremor
961,543.5,no_tremor
962,544.0,no_tremor
963,544.5,no_tremor
964,545.0,no_tremor
965,545.5,no_tremor
966,546.0,no_tremor
967,546.5,no_tremor
2074,547.0,no_tremor.flat
2075,547.5,no_tremor.flat
968,548.0,no_tremor
969,548.5,no_tremor
2076,549.0,no_tremor.flat
970,549.5,no_tremor
971,550.0,no_tremor
2077,550.5,no_tremor.flat
2078,551.0,no_tremor.flat
2083,551.5,no_tremor.flat
972,552.0,no_tremor
2079,552.5,no_tremor.flat
2080,553.0,no_tremor.flat
2082,553.5,no_tremor.flat
2081,554.0,no_tremor.flat
2084,554.5,no_tremor.flat
973,555.0,no_tremor
974,555.5,no_tremor
975,556.0,no_tremor
976,556.5,no_tremor
977,557.0,no_tremor
978,557.5,no_tremor
979,558.0,no_tremor
2085,558.5,no_tremor.flat
980,559.0,no_tremor
981,559.5,no_tremor
982,560.0,no_tremor
983,560.5,no_tremor
